Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.001000	1.891463	1.747498	23.430233	39.669421	
0.001000	1.691948	1.514282	40.174419	46.280992	
0.001000	1.537979	1.340052	47.558140	58.677685	
0.001000	1.397456	1.215672	55.000000	64.462810	
0.001000	1.302439	1.100642	55.872093	70.247932	
0.001000	1.195485	1.009869	61.860465	71.074381	
0.001000	1.139023	0.949093	60.465116	70.247935	
0.001000	1.092130	0.913630	62.906977	70.247935	
0.001000	1.037277	0.855134	64.476744	71.074378	
0.001000	0.993986	0.828937	65.581395	71.900827	
0.001000	0.922436	0.789754	69.476744	75.206609	
0.001000	0.892847	0.745674	69.534884	76.859502	
0.001000	0.849833	0.723917	69.883721	76.859502	
0.001000	0.810777	0.701788	71.686047	77.685949	
0.001000	0.789190	0.707735	73.081395	76.859502	
0.000100	0.791854	0.704839	71.860465	76.859503	
0.000100	0.773259	0.699285	72.848837	76.859503	
0.000100	0.762703	0.694136	73.546512	76.859502	
0.000100	0.740855	0.687780	74.127907	76.859503	
0.000100	0.777199	0.691751	72.325581	77.685949	
0.000100	0.781614	0.689679	72.034884	78.512395	
0.000100	0.752258	0.673575	73.372093	78.512396	
0.000100	0.748153	0.686314	74.767442	76.859502	
0.000100	0.747775	0.689425	74.418605	78.512395	
0.000100	0.751933	0.683501	73.662791	77.685949	
0.000010	0.756704	0.676423	72.151163	76.033056	
0.000010	0.734488	0.680751	74.534884	77.685949	
0.000010	0.755963	0.674851	72.558140	77.685949	
0.000010	0.738870	0.678704	73.604651	78.512395	
0.000010	0.767614	0.676819	73.255814	78.512395	
