Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.001000	1.739923	1.322671	30.988372	44.628099	
0.001000	1.275887	0.876802	54.069767	71.074381	
0.001000	1.044286	0.730898	62.732558	75.206610	
0.001000	0.904671	0.724828	68.779070	76.859502	
0.001000	0.808352	0.618621	71.395349	80.165289	
0.001000	0.762249	0.557288	72.209302	80.165288	
0.001000	0.727029	0.542056	73.837209	80.165288	
0.001000	0.678959	0.491218	75.930232	83.471075	
0.001000	0.659499	0.490543	76.569767	83.471076	
0.001000	0.623855	0.470774	76.918605	82.644628	
0.001000	0.577701	0.481941	78.779070	81.818181	
0.001000	0.547449	0.457064	79.825581	83.471075	
0.001000	0.514266	0.463325	81.802325	80.991735	
0.001000	0.502149	0.428184	82.500000	84.297521	
0.001000	0.486174	0.387277	82.093023	84.297521	
0.000100	0.450511	0.396134	83.779070	85.950414	
0.000100	0.452301	0.401228	84.593023	85.123967	
0.000100	0.451844	0.414070	83.953488	85.123967	
0.000100	0.446778	0.403975	83.081395	85.950414	
0.000100	0.449166	0.381492	84.883721	85.950414	
0.000100	0.434222	0.392241	84.186047	85.123967	
0.000100	0.424618	0.394372	85.058140	85.123967	
0.000100	0.444545	0.390926	84.244186	85.123967	
0.000100	0.436523	0.393838	84.941861	85.123967	
0.000100	0.441298	0.397077	84.593023	84.297521	
0.000010	0.424074	0.400557	85.465116	84.297521	
0.000010	0.432888	0.398792	84.825581	83.471074	
0.000010	0.429329	0.398313	84.883721	84.297521	
0.000010	0.438035	0.395735	84.186047	84.297520	
0.000010	0.425228	0.398100	85.930232	83.471074	
