Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.001000	1.880375	1.821997	24.329897	26.446281	
0.001000	1.681232	1.566337	42.371134	50.413223	
0.001000	1.544313	1.403738	50.618557	53.719008	
0.001000	1.398904	1.290405	54.742268	63.636362	
0.001000	1.295673	1.202616	58.659794	65.289256	
0.001000	1.198330	1.129281	61.546392	66.942149	
0.001000	1.150237	1.072902	64.329897	67.768596	
0.001000	1.088612	1.012526	63.298969	67.768595	
0.001000	1.034678	0.960992	66.082474	69.421488	
0.001000	0.987172	0.940409	67.835052	68.595042	
0.001000	0.936112	0.900138	69.690722	69.421488	
0.001000	0.909870	0.868224	69.175258	70.247935	
0.001000	0.923613	0.845411	69.484536	71.074380	
0.001000	0.856688	0.830906	72.577320	70.247934	
0.001000	0.822525	0.813121	73.608247	72.727274	
0.000100	0.821382	0.818040	73.608247	71.074381	
0.000100	0.792013	0.817765	75.670103	71.074381	
0.000100	0.800142	0.818841	73.505155	71.900827	
0.000100	0.793249	0.803770	75.051546	72.727274	
0.000100	0.798334	0.802793	74.020619	71.900827	
0.000100	0.794149	0.813533	74.845361	71.900827	
0.000100	0.805629	0.808501	72.577320	71.900827	
0.000100	0.803672	0.805517	74.742268	71.074381	
0.000100	0.809917	0.809686	72.989691	71.900827	
0.000100	0.793956	0.789802	76.288660	71.900827	
0.000010	0.805812	0.796746	73.195876	71.900827	
0.000010	0.792615	0.797421	75.051546	71.900827	
0.000010	0.791515	0.801530	73.195876	71.900827	
0.000010	0.764179	0.797216	75.257732	71.074381	
0.000010	0.810282	0.797832	73.505155	72.727274	
