Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.001000	1.772866	1.540148	30.927835	52.066115	
0.001000	1.396021	1.158076	52.886598	57.024793	
0.001000	1.110823	0.962388	62.164948	68.595041	
0.001000	0.969814	0.800775	69.175258	76.033056	
0.001000	0.842726	0.748777	72.268041	74.380164	
0.001000	0.765333	0.746936	75.257732	74.380165	
0.001000	0.693973	0.617375	76.907216	77.685951	
0.001000	0.641742	0.584277	77.525773	79.338842	
0.001000	0.567653	0.537715	81.237113	80.991735	
0.001000	0.512067	0.507557	82.680412	81.818181	
0.001000	0.458635	0.483743	84.226804	82.644627	
0.001000	0.431348	0.475449	85.773196	81.818180	
0.001000	0.416833	0.443584	86.701031	85.950413	
0.001000	0.370079	0.452258	88.041237	80.165288	
0.001000	0.338381	0.475364	89.278351	81.818180	
0.000100	0.302601	0.452321	89.278351	81.818181	
0.000100	0.314826	0.443855	90.000000	83.471074	
0.000100	0.318603	0.444668	88.969072	83.471073	
0.000100	0.317470	0.447864	90.103093	83.471073	
0.000100	0.292444	0.435653	90.927835	83.471074	
0.000100	0.267019	0.432161	92.886598	81.818181	
0.000100	0.270318	0.432339	91.649485	80.991734	
0.000100	0.298743	0.450692	91.134021	80.991734	
0.000100	0.291710	0.441216	90.927835	83.471073	
0.000100	0.289607	0.434511	90.206186	80.165288	
0.000010	0.289661	0.442208	90.515464	80.991734	
0.000010	0.276951	0.430970	91.030928	82.644626	
0.000010	0.304209	0.443205	90.824742	84.297520	
0.000010	0.288334	0.426940	91.340206	81.818180	
0.000010	0.290485	0.432695	91.134021	81.818181	
