Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.001000	1.909014	1.759907	21.453488	34.710744	
0.001000	1.764422	1.542262	32.325581	47.107438	
0.001000	1.650318	1.371482	35.581395	52.892561	
0.001000	1.557203	1.213969	39.360465	58.677686	
0.001000	1.479487	1.098227	43.779070	67.768596	
0.001000	1.416095	0.981600	44.883721	70.247934	
0.001000	1.374728	0.893093	47.383721	72.727274	
0.001000	1.355051	0.817292	47.383721	75.206610	
0.001000	1.304525	0.762459	49.244186	76.033057	
0.001000	1.292234	0.728270	49.127907	74.380166	
0.001000	1.271453	0.690944	50.465116	79.338842	
0.001000	1.247836	0.657153	50.116279	80.165288	
0.001000	1.231503	0.619864	51.569767	79.338841	
0.001000	1.212117	0.605728	50.232558	80.165288	
0.001000	1.174586	0.598328	54.534884	80.991735	
0.000100	1.177814	0.593335	52.267442	80.165288	
0.000100	1.174249	0.582677	53.953488	80.991735	
0.000100	1.176153	0.584498	53.197674	80.991735	
0.000100	1.169950	0.578828	53.023256	81.818181	
0.000100	1.178488	0.579258	52.906977	81.818181	
0.000100	1.157226	0.579545	53.023256	81.818181	
0.000100	1.184788	0.575869	51.802326	80.991734	
0.000100	1.172479	0.576922	54.127907	81.818181	
0.000100	1.171368	0.569513	53.372093	82.644627	
0.000100	1.173268	0.562002	53.139535	80.991735	
0.000010	1.168350	0.567333	53.139535	81.818181	
0.000010	1.164433	0.566941	53.604651	80.991735	
0.000010	1.176303	0.569630	52.848837	81.818181	
0.000010	1.174444	0.569326	53.953488	81.818181	
0.000010	1.180886	0.562212	52.790698	80.165288	
