Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.001000	1.754960	1.390153	31.337209	46.280991	
0.001000	1.340267	0.989860	55.058139	65.289255	
0.001000	1.037622	0.832286	64.069767	71.900827	
0.001000	0.820695	0.708350	73.488372	74.380166	
0.001000	0.657950	0.670337	79.244186	77.685951	
0.001000	0.564361	0.528973	80.697674	82.644629	
0.001000	0.471811	0.502853	83.837209	85.123965	
0.001000	0.474891	0.482718	82.790698	85.950413	
0.001000	0.459990	0.497486	83.895349	81.818182	
0.001000	0.358027	0.429435	88.139535	85.123967	
0.001000	0.339031	0.413547	88.313953	86.776860	
0.001000	0.322480	0.387277	88.662791	85.123967	
0.001000	0.301174	0.344709	89.360465	85.950414	
0.001000	0.286653	0.407083	90.581395	85.123967	
0.001000	0.281500	0.332001	89.767442	88.429753	
0.000100	0.251134	0.300869	91.744186	90.082646	
0.000100	0.234023	0.312900	92.151163	90.082645	
0.000100	0.211981	0.304715	93.430232	88.429753	
0.000100	0.241313	0.299807	91.976744	87.603306	
0.000100	0.214196	0.322145	93.197674	85.950413	
0.000100	0.227953	0.301163	92.558139	90.082646	
0.000100	0.215386	0.310353	92.790698	87.603306	
0.000100	0.199136	0.307770	93.372093	88.429753	
0.000100	0.224574	0.291347	93.023256	90.082646	
0.000100	0.226712	0.298092	92.848837	89.256199	
0.000010	0.204478	0.298966	93.662791	90.082646	
0.000010	0.201765	0.299323	93.488372	89.256198	
0.000010	0.214491	0.292768	93.255814	88.429752	
0.000010	0.228254	0.293381	92.732558	89.256199	
0.000010	0.196870	0.300977	93.837209	89.256199	
