model,metric,group_1,group_2,n,mean_difference,cohen_dz,p_raw,p_wilcoxon,p_holm
efficientnet_b0,accuracy,ArSDM,Controlnet,5,-0.00826446280991735,-0.7071067811865471,0.18900365845517555,0.17971249487899976,1.0
efficientnet_b0,accuracy,ArSDM,DFMGAN,5,-0.0033057851239669755,-0.2051956704170328,0.6701799733187781,0.8125,1.0
efficientnet_b0,accuracy,ArSDM,Derm-T2IM,5,-0.011570247933884304,-0.6751399510385778,0.2056399589507085,0.3125,1.0
efficientnet_b0,accuracy,ArSDM,DreamBooth,5,0.023140495867768583,1.0817343730007587,0.07285505961025562,0.125,1.0
efficientnet_b0,accuracy,ArSDM,LesionGen,5,0.026446280991735516,0.8645491631332773,0.12535460853443875,0.1875,1.0
efficientnet_b0,accuracy,ArSDM,Siamese,5,-2.2204460492503132e-17,-1.4361227883076654e-15,0.9999999999999976,1.0,1.0
efficientnet_b0,accuracy,ArSDM,T2I-Adapter,5,0.004958677685950397,0.5262348115842176,0.304558784680535,0.25683925795785656,1.0
efficientnet_b0,accuracy,ArSDM,baseline,5,0.06446280991735534,3.2670604846752256,0.0018671933227856056,0.0625,0.07282053958863861
efficientnet_b0,accuracy,ArSDM,flow,5,-0.03140495867768596,-1.666410236683355,0.020364048805992924,0.0625,0.5701933665678018
efficientnet_b0,accuracy,Controlnet,DFMGAN,5,0.0049586776859503745,0.27386127875258115,0.573392253825358,0.625,1.0
efficientnet_b0,accuracy,Controlnet,Derm-T2IM,5,-0.0033057851239669533,-0.22019275302527302,0.6482612949673057,0.5929800980174267,1.0
efficientnet_b0,accuracy,Controlnet,DreamBooth,5,0.03140495867768593,1.2883206568795407,0.04497813973962834,0.125,1.0
efficientnet_b0,accuracy,Controlnet,LesionGen,5,0.034710743801652864,1.22788122702984,0.05160595781117486,0.0625,1.0
efficientnet_b0,accuracy,Controlnet,Siamese,5,0.008264462809917328,0.6324555320336759,0.23019964108049873,0.1974660733580187,1.0
efficientnet_b0,accuracy,Controlnet,T2I-Adapter,5,0.013223140495867747,1.4032928308912478,0.034919706674538975,0.06788915486182899,0.9257910357024532
efficientnet_b0,accuracy,Controlnet,baseline,5,0.07272727272727268,3.859055284950929,0.0009916791152611373,0.0625,0.03966716461044549
efficientnet_b0,accuracy,Controlnet,flow,5,-0.023140495867768607,-2.556038601690772,0.004635839417904428,0.0625,0.16225437962665498
efficientnet_b0,accuracy,DFMGAN,Derm-T2IM,5,-0.008264462809917328,-0.6324555320336759,0.23019964108049873,0.1974660733580187,1.0
efficientnet_b0,accuracy,DFMGAN,DreamBooth,5,0.02644628099173556,2.454287964311596,0.005370441980612493,0.0625,0.17722458536021227
efficientnet_b0,accuracy,DFMGAN,LesionGen,5,0.02975206611570249,1.070935411155713,0.07478641854987096,0.10880943004054568,1.0
efficientnet_b0,accuracy,DFMGAN,Siamese,5,0.0033057851239669533,0.26375218935831596,0.5870496397870547,0.4614509878333607,1.0
efficientnet_b0,accuracy,DFMGAN,T2I-Adapter,5,0.008264462809917373,0.5345224838248501,0.29801481173120925,0.1974660733580187,1.0
efficientnet_b0,accuracy,DFMGAN,baseline,5,0.06776859504132231,7.485541619237295,7.465418787983027e-05,0.0625,0.003284784266712532
efficientnet_b0,accuracy,DFMGAN,flow,5,-0.028099173553718982,-1.4117731575135788,0.03428855687786864,0.06788915486182899,0.9257910357024532
efficientnet_b0,accuracy,Derm-T2IM,DreamBooth,5,0.034710743801652885,2.8316394223456256,0.003184812781718847,0.0625,0.1146532601418785
efficientnet_b0,accuracy,Derm-T2IM,LesionGen,5,0.03801652892561982,1.3684174698100766,0.037663111123980665,0.0625,0.9415777780995166
efficientnet_b0,accuracy,Derm-T2IM,Siamese,5,0.011570247933884281,2.5560386016907626,0.004635839417904492,0.0625,0.16225437962665498
efficientnet_b0,accuracy,Derm-T2IM,T2I-Adapter,5,0.0165289256198347,0.8528028654224431,0.12920298463940966,0.125,1.0
efficientnet_b0,accuracy,Derm-T2IM,baseline,5,0.07603305785123964,10.996103205876453,1.6236115156430478e-05,0.0625,0.0007306251820393715
efficientnet_b0,accuracy,Derm-T2IM,flow,5,-0.019834710743801654,-1.042493382631367,0.08015667421022175,0.10880943004054568,1.0
efficientnet_b0,accuracy,DreamBooth,LesionGen,5,0.0033057851239669312,0.10968169942141597,0.8183274150826493,0.7150006546880893,1.0
efficientnet_b0,accuracy,DreamBooth,Siamese,5,-0.023140495867768607,-1.7040257344605174,0.018934978709361963,0.0633177868300456,0.5491143825714969
efficientnet_b0,accuracy,DreamBooth,T2I-Adapter,5,-0.018181818181818188,-0.7458698539828932,0.17067830985568608,0.1875,1.0
efficientnet_b0,accuracy,DreamBooth,baseline,5,0.04132231404958675,5.000000000000013,0.00036434829923770283,0.0625,0.015302628567983518
efficientnet_b0,accuracy,DreamBooth,flow,5,-0.05454545454545454,-1.9633815871188098,0.011780275312668752,0.0625,0.37696881000540006
efficientnet_b0,accuracy,LesionGen,Siamese,5,-0.026446280991735537,-1.1174884732313246,0.06685364453302167,0.06788915486182899,1.0
efficientnet_b0,accuracy,LesionGen,T2I-Adapter,5,-0.02148760330578512,-0.7413457330658608,0.1727181755289956,0.3125,1.0
efficientnet_b0,accuracy,LesionGen,baseline,5,0.03801652892561982,1.3116116815780612,0.04269215275844945,0.0625,1.0
efficientnet_b0,accuracy,LesionGen,flow,5,-0.057851239669421475,-1.8382900600361143,0.014725635617196997,0.0625,0.45649470413310694
efficientnet_b0,accuracy,Siamese,T2I-Adapter,5,0.004958677685950419,0.28934569330224846,0.5528894339334154,0.625,1.0
efficientnet_b0,accuracy,Siamese,baseline,5,0.06446280991735535,7.120393247567145,9.096189683976823e-05,0.0625,0.003911361564110034
efficientnet_b0,accuracy,Siamese,flow,5,-0.03140495867768593,-1.7528092952548828,0.017256402485413287,0.0625,0.5176920745623986
efficientnet_b0,accuracy,T2I-Adapter,baseline,5,0.05950413223140494,2.8915895840489996,0.002947130241075552,0.0625,0.11061079107376037
efficientnet_b0,accuracy,T2I-Adapter,flow,5,-0.036363636363636355,-2.901274082941459,0.0029108102914147467,0.0625,0.11061079107376037
efficientnet_b0,accuracy,baseline,flow,5,-0.09586776859504129,-4.621550622759656,0.0004947937764286472,0.0625,0.020286544833574532
efficientnet_b0,balanced_accuracy,ArSDM,Controlnet,5,0.030319680319680353,1.099749798885299,0.06975775589195829,0.125,1.0
efficientnet_b0,balanced_accuracy,ArSDM,DFMGAN,5,0.03484015984015989,0.8574692297923598,0.12765903827470432,0.3125,1.0
efficientnet_b0,balanced_accuracy,ArSDM,Derm-T2IM,5,0.015243090243090274,0.48781994142299256,0.33666528217908204,0.625,1.0
efficientnet_b0,balanced_accuracy,ArSDM,DreamBooth,5,0.05462037962037962,1.5556369405517159,0.02538634360905802,0.0625,0.628198112769117
efficientnet_b0,balanced_accuracy,ArSDM,LesionGen,5,0.07345154845154844,1.7975264011641903,0.015872433106888354,0.0625,0.4325649652021575
efficientnet_b0,balanced_accuracy,ArSDM,Siamese,5,0.02495837495837503,0.7636380877333656,0.16290817550685405,0.1875,1.0
efficientnet_b0,balanced_accuracy,ArSDM,T2I-Adapter,5,0.04717782217782225,2.27179754477337,0.007081252828645025,0.0625,0.2336813433452858
efficientnet_b0,balanced_accuracy,ArSDM,baseline,5,0.12749750249750244,3.0538126822939553,0.0024052869980124712,0.0625,0.08899561892646143
efficientnet_b0,balanced_accuracy,ArSDM,flow,5,-0.021603396603396587,-0.7116312585701363,0.1867633350009328,0.1875,1.0
efficientnet_b0,balanced_accuracy,Controlnet,DFMGAN,5,0.004520479520479537,0.14742733159935997,0.7581993731697215,0.625,1.0
efficientnet_b0,balanced_accuracy,Controlnet,Derm-T2IM,5,-0.015076590076590079,-0.810036070634678,0.14432970400284742,0.1875,1.0
efficientnet_b0,balanced_accuracy,Controlnet,DreamBooth,5,0.02430069930069927,0.8555472248735799,0.1282925308059564,0.1875,1.0
efficientnet_b0,balanced_accuracy,Controlnet,LesionGen,5,0.04313186813186809,1.0014381855891672,0.08869235820656822,0.125,1.0
efficientnet_b0,balanced_accuracy,Controlnet,Siamese,5,-0.0053613053613053244,-0.2648699589994669,0.585529093463651,0.625,1.0
efficientnet_b0,balanced_accuracy,Controlnet,T2I-Adapter,5,0.016858141858141894,1.1812651760737094,0.057496785938751266,0.06788915486182899,1.0
