group,model,seed,metric,value
baseline,resnet18,42,accuracy,0.8760330578512396
baseline,resnet18,42,balanced_accuracy,0.8345404595404595
baseline,resnet18,42,macro_precision,0.8620708283313324
baseline,resnet18,42,macro_recall,0.8345404595404595
baseline,resnet18,42,macro_f1,0.841137499219582
baseline,resnet18,42,macro_auc_ovr,0.9806723316531905
baseline,resnet18,123,accuracy,0.8677685950413223
baseline,resnet18,123,balanced_accuracy,0.8345404595404595
baseline,resnet18,123,macro_precision,0.8946568137744608
baseline,resnet18,123,macro_recall,0.8345404595404595
baseline,resnet18,123,macro_f1,0.8488900660848374
baseline,resnet18,123,macro_auc_ovr,0.9673432910365243
baseline,resnet18,2024,accuracy,0.8512396694214877
baseline,resnet18,2024,balanced_accuracy,0.7983682983682983
baseline,resnet18,2024,macro_precision,0.8267484367484367
baseline,resnet18,2024,macro_recall,0.7983682983682983
baseline,resnet18,2024,macro_f1,0.8066185258715101
baseline,resnet18,2024,macro_auc_ovr,0.9818315491774244
baseline,resnet18,3407,accuracy,0.859504132231405
baseline,resnet18,3407,balanced_accuracy,0.7924159174159174
baseline,resnet18,3407,macro_precision,0.8602064073492643
baseline,resnet18,3407,macro_recall,0.7924159174159174
baseline,resnet18,3407,macro_f1,0.8122970050553914
baseline,resnet18,3407,macro_auc_ovr,0.9815436660606016
baseline,resnet18,7777,accuracy,0.859504132231405
baseline,resnet18,7777,balanced_accuracy,0.8178488178488178
baseline,resnet18,7777,macro_precision,0.8359894074179788
baseline,resnet18,7777,macro_recall,0.8178488178488178
baseline,resnet18,7777,macro_f1,0.8205581289980267
baseline,resnet18,7777,macro_auc_ovr,0.9777079786333619
baseline,resnet50,42,accuracy,0.8760330578512396
baseline,resnet50,42,balanced_accuracy,0.8113553113553114
baseline,resnet50,42,macro_precision,0.8496979211264925
baseline,resnet50,42,macro_recall,0.8113553113553114
baseline,resnet50,42,macro_f1,0.8241455645803473
baseline,resnet50,42,macro_auc_ovr,0.9678567035611012
baseline,resnet50,123,accuracy,0.859504132231405
baseline,resnet50,123,balanced_accuracy,0.7979104229104229
baseline,resnet50,123,macro_precision,0.8389804002409044
baseline,resnet50,123,macro_recall,0.7979104229104229
baseline,resnet50,123,macro_f1,0.8116253475785529
baseline,resnet50,123,macro_auc_ovr,0.9811499094048999
baseline,resnet50,2024,accuracy,0.8677685950413223
baseline,resnet50,2024,balanced_accuracy,0.7924159174159174
baseline,resnet50,2024,macro_precision,0.8831302031302031
baseline,resnet50,2024,macro_recall,0.7924159174159174
baseline,resnet50,2024,macro_f1,0.8097215315493932
baseline,resnet50,2024,macro_auc_ovr,0.9768764349431059
baseline,resnet50,3407,accuracy,0.859504132231405
baseline,resnet50,3407,balanced_accuracy,0.8034049284049285
baseline,resnet50,3407,macro_precision,0.8541113648256504
baseline,resnet50,3407,macro_recall,0.8034049284049285
baseline,resnet50,3407,macro_f1,0.8152556173984744
baseline,resnet50,3407,macro_auc_ovr,0.9780168357201366
baseline,resnet50,7777,accuracy,0.8677685950413223
baseline,resnet50,7777,balanced_accuracy,0.8292957042957043
baseline,resnet50,7777,macro_precision,0.8494824016563147
baseline,resnet50,7777,macro_recall,0.8292957042957043
baseline,resnet50,7777,macro_f1,0.8330130201942018
baseline,resnet50,7777,macro_auc_ovr,0.9652423555222873
baseline,efficientnet_b0,42,accuracy,0.7272727272727273
baseline,efficientnet_b0,42,balanced_accuracy,0.6235014985014986
baseline,efficientnet_b0,42,macro_precision,0.6690646258503401
baseline,efficientnet_b0,42,macro_recall,0.6235014985014986
baseline,efficientnet_b0,42,macro_f1,0.6300480091786088
baseline,efficientnet_b0,42,macro_auc_ovr,0.9385746811124022
baseline,efficientnet_b0,123,accuracy,0.7272727272727273
baseline,efficientnet_b0,123,balanced_accuracy,0.615925740925741
baseline,efficientnet_b0,123,macro_precision,0.6841269841269841
baseline,efficientnet_b0,123,macro_recall,0.615925740925741
baseline,efficientnet_b0,123,macro_f1,0.6220416945246008
baseline,efficientnet_b0,123,macro_auc_ovr,0.9444429844972825
baseline,efficientnet_b0,2024,accuracy,0.7520661157024794
baseline,efficientnet_b0,2024,balanced_accuracy,0.6603812853812855
baseline,efficientnet_b0,2024,macro_precision,0.7099766188526692
baseline,efficientnet_b0,2024,macro_recall,0.6603812853812855
baseline,efficientnet_b0,2024,macro_f1,0.6620089639156577
baseline,efficientnet_b0,2024,macro_auc_ovr,0.9462911413350238
baseline,efficientnet_b0,3407,accuracy,0.71900826446281
baseline,efficientnet_b0,3407,balanced_accuracy,0.6315351315351315
baseline,efficientnet_b0,3407,macro_precision,0.7232142857142857
baseline,efficientnet_b0,3407,macro_recall,0.6315351315351315
baseline,efficientnet_b0,3407,macro_f1,0.645765407248948
baseline,efficientnet_b0,3407,macro_auc_ovr,0.9462737060919041
baseline,efficientnet_b0,7777,accuracy,0.71900826446281
baseline,efficientnet_b0,7777,balanced_accuracy,0.6115967365967366
baseline,efficientnet_b0,7777,macro_precision,0.6301587301587303
baseline,efficientnet_b0,7777,macro_recall,0.6115967365967366
baseline,efficientnet_b0,7777,macro_f1,0.6114101615488963
baseline,efficientnet_b0,7777,macro_auc_ovr,0.9461636150560995
ArSDM,resnet18,42,accuracy,0.8429752066115702
ArSDM,resnet18,42,balanced_accuracy,0.7722277722277723
ArSDM,resnet18,42,macro_precision,0.8461283643892339
ArSDM,resnet18,42,macro_recall,0.7722277722277723
ArSDM,resnet18,42,macro_f1,0.7914407208964542
ArSDM,resnet18,42,macro_auc_ovr,0.9692031347590481
ArSDM,resnet18,123,accuracy,0.8677685950413223
ArSDM,resnet18,123,balanced_accuracy,0.8141441891441891
ArSDM,resnet18,123,macro_precision,0.8619599976742834
