model,metric,group_1,group_2,n,mean_difference,cohen_dz,p_raw,p_wilcoxon,p_holm
segformer,mDice,ArSDM,Controlnet,5,0.0012010501435965938,0.3785228817042346,0.44499371137560656,0.625,1.0
segformer,mDice,ArSDM,DFMGAN,5,0.002712941760859211,2.0794232793030223,0.009663392443278943,0.0625,0.18360445642229992
segformer,mDice,ArSDM,Siamese,5,-0.0016735864079688411,-1.0105342988452313,0.08671657793790566,0.0625,0.9538823573169622
segformer,mDice,ArSDM,T2I-Adapter,5,-0.004052842845601501,-2.015439795201194,0.010767521598927908,0.0625,0.18360445642229992
segformer,mDice,ArSDM,baseline,5,0.0008480764617604608,0.22795413865170996,0.6370825613911142,0.8125,1.0
segformer,mDice,ArSDM,flow,5,-0.0014392579882598123,-0.8970756743298608,0.11533424387312355,0.1875,0.9538823573169622
segformer,mDice,Controlnet,DFMGAN,5,0.0015118916172626173,0.4934356641832443,0.33178608481720145,0.3125,1.0
segformer,mDice,Controlnet,Siamese,5,-0.0028746365515654347,-1.0975779923154931,0.07012309056722299,0.125,0.8414770868066759
segformer,mDice,Controlnet,T2I-Adapter,5,-0.0052538929891980946,-1.8522227509538138,0.014356727535185498,0.0625,0.21535091302778248
segformer,mDice,Controlnet,baseline,5,-0.0003529736818361329,-0.22783102965460908,0.6372589801797068,0.8125,1.0
segformer,mDice,Controlnet,flow,5,-0.002640308131856406,-1.3056883590128938,0.043260414176381795,0.125,0.5623853842929634
segformer,mDice,DFMGAN,Siamese,5,-0.004386528168828052,-6.283940808291897,0.00014885354383919496,0.0625,0.003125924420623094
segformer,mDice,DFMGAN,T2I-Adapter,5,-0.006765784606460712,-5.067864621467661,0.0003456963927532269,0.0625,0.0069139278550645385
segformer,mDice,DFMGAN,baseline,5,-0.0018648652990987502,-0.6056820324063379,0.24707908219138464,0.3125,1.0
segformer,mDice,DFMGAN,flow,5,-0.004152199749119023,-2.0577800031348366,0.010020801428593731,0.0625,0.18360445642229992
segformer,mDice,Siamese,T2I-Adapter,5,-0.00237925643763266,-1.4782907782374555,0.029777963575371456,0.0625,0.4168914900552004
segformer,mDice,Siamese,baseline,5,0.002521662869729302,0.9552120946952247,0.09954322010410659,0.125,0.9538823573169622
segformer,mDice,Siamese,flow,5,0.00023432841970902896,0.1355360528743895,0.7769462801554711,1.0,1.0
segformer,mDice,T2I-Adapter,baseline,5,0.0049009193073619615,1.9278477806272047,0.012538128446481991,0.0625,0.20061005514371186
segformer,mDice,T2I-Adapter,flow,5,0.0026135848573416885,1.010485986695232,0.08672694068216337,0.0625,0.9538823573169622
segformer,mDice,baseline,flow,5,-0.002287334450020273,-0.7700142988553427,0.1602113805036411,0.125,1.0
segformer,mIoU,ArSDM,Controlnet,5,0.001380827998326839,0.2619163104935191,0.5895526545317162,0.625,1.0
segformer,mIoU,ArSDM,DFMGAN,5,0.003437745374096313,1.629503327353565,0.021893321257162056,0.0625,0.3502931401145929
segformer,mIoU,ArSDM,Siamese,5,-0.0027587946781442163,-1.095356417536231,0.07049905119905833,0.0625,0.8459886143887
segformer,mIoU,ArSDM,T2I-Adapter,5,-0.006243185366480786,-1.8860365587975425,0.01350673923615758,0.0625,0.256628045486994
segformer,mIoU,ArSDM,baseline,5,0.0009785129019051597,0.1741091989604903,0.7168776615429979,0.8125,1.0
segformer,mIoU,ArSDM,flow,5,-0.003004496846317273,-1.041972332939262,0.08025903948814828,0.125,0.882849434369631
segformer,mIoU,Controlnet,DFMGAN,5,0.002056917375769474,0.4236222027249659,0.3971500205446943,0.625,1.0
segformer,mIoU,Controlnet,Siamese,5,-0.004139622676471055,-0.9803782240112534,0.09346309435860693,0.125,0.9346309435860694
segformer,mIoU,Controlnet,T2I-Adapter,5,-0.007624013364807625,-1.5891972074773848,0.023722806253992965,0.0625,0.35584209380989446
segformer,mIoU,Controlnet,baseline,5,-0.0004023150964216793,-0.20009227254335418,0.6777318598985818,0.8125,1.0
segformer,mIoU,Controlnet,flow,5,-0.004385324844644112,-1.3731672564585615,0.03727497195546,0.0625,0.52184960737644
segformer,mIoU,DFMGAN,Siamese,5,-0.006196540052240529,-4.179088508871023,0.0007301898308079734,0.0625,0.01460379661615947
segformer,mIoU,DFMGAN,T2I-Adapter,5,-0.009680930740577099,-5.344128440253209,0.0002809930345601292,0.0625,0.005900853725762714
segformer,mIoU,DFMGAN,baseline,5,-0.002459232472191153,-0.5516457612120372,0.28491082595418715,0.3125,1.0
segformer,mIoU,DFMGAN,flow,5,-0.006442242220413586,-1.8463560158402208,0.01451069294655437,0.0625,0.26119247303797866
segformer,mIoU,Siamese,T2I-Adapter,5,-0.0034843906883365696,-1.1724315977785364,0.058698508595491646,0.0625,0.7630806117413914
segformer,mIoU,Siamese,baseline,5,0.003737307580049376,0.9260653470716265,0.1071396887983931,0.125,0.9642571991855379
segformer,mIoU,Siamese,flow,5,-0.00024570216817305647,-0.08793552569508634,0.853703575794928,0.8125,1.0
segformer,mIoU,T2I-Adapter,baseline,5,0.007221698268385946,1.792143963868758,0.016031764382066653,0.0625,0.2725399944951331
segformer,mIoU,T2I-Adapter,flow,5,0.003238688520163513,0.7375180725103784,0.17446392255965407,0.0625,1.0
