group,model,seed,metric,value
ArSDM,unet,42,mDice,0.8557447175349085
ArSDM,unet,42,mIoU,0.760035980831493
ArSDM,unet,123,mDice,0.8532746759327975
ArSDM,unet,123,mIoU,0.7581564247115584
ArSDM,unet,2024,mDice,0.8520073831573991
ArSDM,unet,2024,mIoU,0.7557609036934277
ArSDM,unet,3407,mDice,0.8554409042862822
ArSDM,unet,3407,mIoU,0.7608762669169213
ArSDM,unet,7777,mDice,0.8543474457480691
ArSDM,unet,7777,mIoU,0.7591034903014002
ArSDM,segformer,42,mDice,0.9154168648168075
ArSDM,segformer,42,mIoU,0.8518603567249519
ArSDM,segformer,123,mDice,0.9169919397220139
ArSDM,segformer,123,mIoU,0.8537187389105805
ArSDM,segformer,2024,mDice,0.9196550875655876
ArSDM,segformer,2024,mIoU,0.8581371455153158
ArSDM,segformer,3407,mDice,0.9183364623834279
ArSDM,segformer,3407,mIoU,0.8554692623043848
ArSDM,segformer,7777,mDice,0.914907809624002
ArSDM,segformer,7777,mIoU,0.850461581521783
Controlnet,unet,42,mDice,0.8457034353382331
Controlnet,unet,42,mIoU,0.7450657757845792
Controlnet,unet,123,mDice,0.8358701969966416
Controlnet,unet,123,mIoU,0.7315556480864848
Controlnet,unet,2024,mDice,0.8477750652092547
Controlnet,unet,2024,mIoU,0.7478277382771831
Controlnet,unet,3407,mDice,0.8433804640100022
Controlnet,unet,3407,mIoU,0.7429288133116793
Controlnet,unet,7777,mDice,0.8474153290110186
Controlnet,unet,7777,mIoU,0.7487560850529631
Controlnet,segformer,42,mDice,0.9156030648010821
Controlnet,segformer,42,mIoU,0.8524178552233483
Controlnet,segformer,123,mDice,0.9141834230462381
Controlnet,segformer,123,mIoU,0.8504979797631256
Controlnet,segformer,2024,mDice,0.9153360655485105
Controlnet,segformer,2024,mIoU,0.8511055973935718
Controlnet,segformer,3407,mDice,0.915605318447775
Controlnet,segformer,3407,mIoU,0.8515406167211611
Controlnet,segformer,7777,mDice,0.91857504155025
Controlnet,segformer,7777,mIoU,0.8571808958841749
DFMGAN,unet,42,mDice,0.8419370089680696
DFMGAN,unet,42,mIoU,0.743242644081431
DFMGAN,unet,123,mDice,0.8573536991087858
DFMGAN,unet,123,mIoU,0.762186160757522
DFMGAN,unet,2024,mDice,0.8429082326652589
DFMGAN,unet,2024,mIoU,0.7413439642299305
DFMGAN,unet,3407,mDice,0.8328534226772214
DFMGAN,unet,3407,mIoU,0.7301896534675409
DFMGAN,unet,7777,mDice,0.8511295441753608
DFMGAN,unet,7777,mIoU,0.7538108185303113
DFMGAN,segformer,42,mDice,0.9148371515195232
DFMGAN,segformer,42,mIoU,0.8512166236057754
DFMGAN,segformer,123,mDice,0.9135266611398745
DFMGAN,segformer,123,mIoU,0.8491586082237811
DFMGAN,segformer,2024,mDice,0.91578876331818
DFMGAN,segformer,2024,mIoU,0.8520317033302686
DFMGAN,segformer,3407,mDice,0.9159194684225666
DFMGAN,segformer,3407,mIoU,0.8532792901204638
DFMGAN,segformer,7777,mDice,0.9116714109073986
DFMGAN,segformer,7777,mIoU,0.8467721328262455
Siamese,unet,42,mDice,0.8415255103229491
Siamese,unet,42,mIoU,0.740925514008388
Siamese,unet,123,mDice,0.8297201133956594
Siamese,unet,123,mIoU,0.7237052592364225
Siamese,unet,2024,mDice,0.8446651987793031
Siamese,unet,2024,mIoU,0.7459012240417733
Siamese,unet,3407,mDice,0.8371981480890069
Siamese,unet,3407,mIoU,0.7362302738772936
Siamese,unet,7777,mDice,0.8354948670410913
Siamese,unet,7777,mIoU,0.7338644118348429
Siamese,segformer,42,mDice,0.9198405752497271
Siamese,segformer,42,mIoU,0.8586566797957933
Siamese,segformer,123,mDice,0.9178407074006136
Siamese,segformer,123,mIoU,0.855190881027663
Siamese,segformer,2024,mDice,0.9198241223973677
Siamese,segformer,2024,mIoU,0.8585823744781746
Siamese,segformer,3407,mDice,0.9193663705479015
Siamese,segformer,3407,mIoU,0.8570172781786642
Siamese,segformer,7777,mDice,0.9168043205560732
Siamese,segformer,7777,mIoU,0.8539938448874418
T2I-Adapter,unet,42,mDice,0.8472037867081067
T2I-Adapter,unet,42,mIoU,0.7491845907258593
T2I-Adapter,unet,123,mDice,0.8432770317251032
T2I-Adapter,unet,123,mIoU,0.743408779467433
T2I-Adapter,unet,2024,mDice,0.8491908301991865
T2I-Adapter,unet,2024,mIoU,0.7502211352025182
T2I-Adapter,unet,3407,mDice,0.8381763460222355
T2I-Adapter,unet,3407,mIoU,0.7358333167950969
T2I-Adapter,unet,7777,mDice,0.8404928573892136
T2I-Adapter,unet,7777,mIoU,0.7368610644143475
T2I-Adapter,segformer,42,mDice,0.9210717111579643
T2I-Adapter,segformer,42,mIoU,0.8599674189386289
T2I-Adapter,segformer,123,mDice,0.9194990559057756
T2I-Adapter,segformer,123,mIoU,0.8581421069862428
T2I-Adapter,segformer,2024,mDice,0.9211042134229802
T2I-Adapter,segformer,2024,mIoU,0.8596716252240267
T2I-Adapter,segformer,3407,mDice,0.9244360327720642
T2I-Adapter,segformer,3407,mIoU,0.8654577347857892
T2I-Adapter,segformer,7777,mDice,0.919461365081062
T2I-Adapter,segformer,7777,mIoU,0.8576241258747321
baseline,unet,42,mDice,0.846830562126538
baseline,unet,42,mIoU,0.7480830358079642
baseline,unet,123,mDice,0.8462146678246742
baseline,unet,123,mIoU,0.7484664734730051
baseline,unet,2024,mDice,0.8425964259904278
baseline,unet,2024,mIoU,0.7437925900309539
baseline,unet,3407,mDice,0.8420165186085977
baseline,unet,3407,mIoU,0.7437174783265295
baseline,unet,7777,mDice,0.8476910970427773
baseline,unet,7777,mIoU,0.7507810045864957
baseline,segformer,42,mDice,0.9178577755108352
baseline,segformer,42,mIoU,0.8550056544217196
baseline,segformer,123,mDice,0.9140477515449209
baseline,segformer,123,mIoU,0.8492966732702965
baseline,segformer,2024,mDice,0.9138778994891269
baseline,segformer,2024,mIoU,0.8500107112994864
baseline,segformer,3407,mDice,0.9172496135569801
baseline,segformer,3407,mIoU,0.8541559276501994
baseline,segformer,7777,mDice,0.9180347417011734
baseline,segformer,7777,mIoU,0.8562855538257883
flow,unet,42,mDice,0.8576125606032442
flow,unet,42,mIoU,0.7632828280945455
flow,unet,123,mDice,0.8581829598127317
flow,unet,123,mIoU,0.7628736131447406
flow,unet,2024,mDice,0.8575312441045587
flow,unet,2024,mIoU,0.7627023409220798
flow,unet,3407,mDice,0.8518025008114901
flow,unet,3407,mIoU,0.7553135432487676
flow,unet,7777,mDice,0.8661345253305986
flow,unet,7777,mIoU,0.7762147454190845
flow,segformer,42,mDice,0.9174492423199425
flow,segformer,42,mIoU,0.8555772511427068
flow,segformer,123,mDice,0.9186642667478766
flow,segformer,123,mIoU,0.8577381712346037
flow,segformer,2024,mDice,0.9201653929781323
flow,segformer,2024,mIoU,0.8590205395517271
flow,segformer,3407,mDice,0.9177032019481186
flow,segformer,3407,mIoU,0.8549866646774544
flow,segformer,7777,mDice,0.9185223500590679
flow,segformer,7777,mIoU,0.8573469426021103
