model,metric,group,n,mean,std,ci95_low,ci95_high
segformer,mDice,ArSDM,5,0.9170616328223676,0.0019811783870371386,0.9146016749451642,0.9195215906995711
segformer,mDice,Controlnet,5,0.9158605826787711,0.0016269407566688735,0.9138404689140049,0.9178806964435373
segformer,mDice,DFMGAN,5,0.9143486910615085,0.0017764645688237116,0.9121429189623156,0.9165544631607014
segformer,mDice,Siamese,5,0.9187352192303365,0.001354104420477186,0.9170538765216214,0.9204165619390516
segformer,mDice,T2I-Adapter,5,0.9211144756679692,0.002023427249333561,0.9186020588994873,0.9236268924364511
segformer,mDice,baseline,5,0.9162135563606075,0.00207602930457213,0.9136358255139043,0.9187912872073107
segformer,mDice,flow,5,0.9185008908106276,0.0010653628174446556,0.9171780681551817,0.9198237134660735
segformer,mIoU,ArSDM,5,0.8539294169954031,0.003017755018352318,0.8501823792337163,0.85767645475709
segformer,mIoU,Controlnet,5,0.8525485889970763,0.00268228398585125,0.8492180935388863,0.8558790844552663
segformer,mIoU,DFMGAN,5,0.8504916716213069,0.0025632058447881017,0.847309031203848,0.8536743120387658
segformer,mIoU,Siamese,5,0.8566882116735475,0.0020659510936064645,0.8541229945785667,0.8592534287685283
segformer,mIoU,T2I-Adapter,5,0.860172602361884,0.00311622154796939,0.8563033022553436,0.8640419024684244
segformer,mIoU,baseline,5,0.8529509040934979,0.003114165461876995,0.8490841569550357,0.8568176512319602
segformer,mIoU,flow,5,0.8569339138417206,0.0016434523533713277,0.8548932982217762,0.858974529461665
unet,mDice,ArSDM,5,0.8541630253318913,0.0015495720035209432,0.8522389775624948,0.8560870731012877
unet,mDice,Controlnet,5,0.84402889811303,0.004880845924396887,0.8379685274479267,0.8500892687781332
unet,mDice,DFMGAN,5,0.8452363815189393,0.009370199539740992,0.8336017420944575,0.8568710209434212
unet,mDice,Siamese,5,0.837720767525602,0.005743244373626383,0.8305895877539837,0.8448519472972202
unet,mDice,T2I-Adapter,5,0.8436681704087692,0.004566073014948922,0.8379986419329374,0.849337698884601
unet,mDice,baseline,5,0.845069854318603,0.0025846813159583156,0.8418605485817476,0.8482791600554584
unet,mDice,flow,5,0.8582527581325247,0.005115256123760794,0.8519013287620595,0.8646041875029898
unet,mIoU,ArSDM,5,0.7587866132909602,0.001973577891912521,0.7563360926749215,0.7612371339069989
unet,mIoU,Controlnet,5,0.7432268121025779,0.006917876141159085,0.7346371343540679,0.751816489851088
unet,mIoU,DFMGAN,5,0.7461546482133472,0.012269167087282406,0.730920465153122,0.7613888312735724
unet,mIoU,Siamese,5,0.736125336599744,0.00833652794587376,0.725774169979333,0.746476503220155
unet,mIoU,T2I-Adapter,5,0.743101777321051,0.006699946676676922,0.7347826947427363,0.7514208598993657
unet,mIoU,baseline,5,0.7469681164449897,0.0031095357825727506,0.7431071178126427,0.7508291150773367
unet,mIoU,flow,5,0.7640774141658435,0.00755135043801593,0.7547011741891388,0.7734536541425482
