Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.001000	1.314363	0.813731	51.923835	71.328671	
0.001000	1.124990	0.697569	57.623112	73.226773	
0.001000	1.069087	0.628598	59.146422	75.924076	
0.001000	1.030052	0.594828	60.938936	77.122877	
0.001000	0.999743	0.554636	61.989494	78.821179	
0.001000	0.979033	0.543892	62.967827	80.219780	
0.001000	0.957323	0.517183	63.742613	81.118881	
0.001000	0.937457	0.495863	64.609324	81.118881	
0.001000	0.921052	0.478213	65.088641	81.718282	
0.001000	0.908073	0.460322	65.804334	81.518482	
0.001000	0.900854	0.449732	65.600788	83.216783	
0.001000	0.887392	0.442328	66.152331	82.917083	
0.001000	0.872272	0.423787	66.854892	83.316683	
0.001000	0.854492	0.415189	68.174655	84.515484	
0.001000	0.843097	0.414102	68.030204	85.314685	
0.000100	0.836115	0.402875	68.706500	84.915085	
0.000100	0.823172	0.409011	69.560079	85.014985	
0.000100	0.827748	0.407366	69.435325	84.715285	
0.000100	0.826533	0.410385	69.409061	85.014985	
0.000100	0.826799	0.404960	69.054498	85.014985	
0.000100	0.825337	0.405069	69.271175	85.514486	
0.000100	0.823109	0.401658	69.487853	85.114885	
0.000100	0.820178	0.403761	69.277741	84.315685	
0.000100	0.820044	0.400305	69.507551	84.615385	
0.000100	0.811516	0.404431	69.914642	85.014985	
0.000010	0.819597	0.401432	69.251477	85.314685	
0.000010	0.818220	0.399499	69.724228	84.815185	
0.000010	0.813240	0.396793	69.428759	85.014985	
0.000010	0.814335	0.404877	69.415627	84.815185	
0.000010	0.813591	0.403931	69.684833	85.614386	
