Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.001000	1.153769	0.605396	56.185161	77.322677	
0.001000	0.979705	0.550932	63.059750	80.119880	
0.001000	0.923576	0.484646	65.088641	82.417582	
0.001000	0.878822	0.452993	67.373605	82.617383	
0.001000	0.834116	0.465785	69.133290	84.115884	
0.001000	0.795948	0.434060	70.380827	83.916084	
0.001000	0.758705	0.397729	72.068286	85.714286	
0.001000	0.715675	0.453214	73.939593	84.215784	
0.001000	0.688162	0.440860	74.911359	85.514485	
0.001000	0.657255	0.412192	76.172029	86.013986	
0.001000	0.631334	0.404530	77.229153	86.113886	
0.001000	0.611478	0.514524	78.030204	83.616384	
0.001000	0.581904	0.370504	79.205515	87.412587	
0.001000	0.549915	0.401119	80.466185	86.213786	
0.001000	0.542543	0.415106	80.722259	87.012987	
0.000100	0.490342	0.374086	82.875903	87.412587	
0.000100	0.457636	0.354946	84.156271	89.010989	
0.000100	0.456590	0.348819	84.090611	88.511489	
0.000100	0.448824	0.357707	84.011819	88.611389	
0.000100	0.442340	0.350771	84.418910	88.411589	
0.000100	0.439254	0.357634	84.589626	88.111888	
0.000100	0.432788	0.361171	84.865397	88.711289	
0.000100	0.423345	0.354043	85.351280	89.110889	
0.000100	0.424659	0.349377	85.206829	89.210789	
0.000100	0.423278	0.354875	85.173999	88.211788	
0.000010	0.414103	0.352169	85.469468	89.110889	
0.000010	0.412073	0.349698	85.659882	89.410590	
0.000010	0.418762	0.355194	85.594222	89.010989	
0.000010	0.415719	0.353576	85.640184	89.010989	
0.000010	0.408578	0.350537	85.791202	88.811189	
