Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.001000	1.260287	0.805771	54.735747	71.828172	
0.001000	1.038288	0.709287	62.049015	74.825175	
0.001000	0.952819	0.662270	65.578886	76.623377	
0.001000	0.889567	0.606882	68.231164	77.922078	
0.001000	0.825109	0.574255	71.331990	79.420579	
0.001000	0.772409	0.554522	73.165182	80.819181	
0.001000	0.724501	0.554025	74.621335	80.419580	
0.001000	0.694783	0.507347	75.570435	82.517482	
0.001000	0.653764	0.492554	77.462134	82.917083	
0.001000	0.626351	0.476701	78.248716	83.316684	
0.001000	0.608935	0.473829	78.820776	82.717283	
0.001000	0.592413	0.469309	79.717870	83.816184	
0.001000	0.569139	0.435653	80.094910	84.415585	
0.001000	0.559488	0.429843	80.439446	84.615385	
0.001000	0.527935	0.438656	81.603068	84.115884	
0.000100	0.521918	0.437605	81.557564	84.615385	
0.000100	0.518590	0.426889	81.408048	84.915085	
0.000100	0.517681	0.435851	82.090620	84.815185	
0.000100	0.505613	0.425465	82.168628	85.214785	
0.000100	0.509803	0.423111	82.032113	84.815185	
0.000100	0.502309	0.420541	82.422154	85.314685	
0.000100	0.502339	0.417297	82.201131	85.114885	
0.000100	0.505415	0.419704	82.422154	85.214785	
0.000100	0.502003	0.418186	82.467659	85.114885	
0.000100	0.498193	0.419675	82.461158	85.214785	
0.000010	0.504953	0.415036	82.324644	85.114885	
0.000010	0.501135	0.414231	82.357147	85.314685	
0.000010	0.507906	0.414304	82.090620	85.014985	
0.000010	0.503013	0.418311	82.207632	85.214785	
0.000010	0.495669	0.424861	82.500163	85.114885	
