Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.001000	1.069566	0.653852	60.969902	76.723277	
0.001000	0.827182	0.576726	71.110967	78.121878	
0.001000	0.710414	0.525870	75.401417	80.819181	
0.001000	0.651915	0.533549	77.234610	80.719281	
0.001000	0.599514	0.454351	79.477345	83.616384	
0.001000	0.563473	0.466134	80.172918	83.216783	
0.001000	0.531027	0.439533	81.473055	84.215784	
0.001000	0.507686	0.425572	82.246636	84.215784	
0.001000	0.487034	0.424948	82.844699	83.716284	
0.001000	0.470375	0.430328	83.312748	84.115884	
0.001000	0.445090	0.417002	84.521875	85.014985	
0.001000	0.428146	0.400229	84.983423	85.414585	
0.001000	0.421224	0.409590	85.113437	84.915085	
0.001000	0.397149	0.414946	85.984528	85.714286	
0.001000	0.390375	0.403187	85.854515	85.914086	
0.000100	0.354981	0.388529	87.401677	86.713287	
0.000100	0.339355	0.388757	87.980238	87.112887	
0.000100	0.334333	0.372281	88.350777	86.313686	
0.000100	0.331113	0.378234	88.669310	87.112887	
0.000100	0.332138	0.377289	88.207762	87.312687	
0.000100	0.323624	0.370964	88.552298	87.312688	
0.000100	0.327903	0.373231	88.467789	86.713287	
0.000100	0.316799	0.373662	88.779822	87.312687	
0.000100	0.326236	0.377748	88.688812	87.412587	
0.000100	0.313849	0.372162	89.117857	87.512488	
0.000010	0.320184	0.377628	88.799324	86.813187	
0.000010	0.311803	0.371789	89.111357	87.212787	
0.000010	0.309562	0.377156	89.267373	87.412587	
0.000010	0.318436	0.370606	89.013846	86.913087	
0.000010	0.313624	0.372426	89.065852	87.212787	
