Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.001000	1.262504	0.808575	55.041279	72.527473	
0.001000	1.026524	0.698315	62.660079	73.726274	
0.001000	0.935651	0.631855	66.339466	75.424575	
0.001000	0.863578	0.584637	69.407788	78.021978	
0.001000	0.815223	0.548582	71.696028	78.721279	
0.001000	0.749426	0.523316	74.296301	80.119880	
0.001000	0.703337	0.502433	75.843464	81.018981	
0.001000	0.672135	0.489833	76.799064	81.718282	
0.001000	0.629506	0.482597	78.547748	82.317682	
0.001000	0.616676	0.458087	78.859780	83.216783	
0.001000	0.587697	0.445777	79.906390	83.316683	
0.001000	0.567026	0.443908	80.705974	84.115884	
0.001000	0.552831	0.438301	80.900995	84.115884	
0.001000	0.537926	0.419601	81.505558	83.816184	
0.001000	0.521271	0.421868	81.759085	85.014985	
0.000100	0.506207	0.412974	82.526165	84.815185	
0.000100	0.486704	0.406424	83.130729	85.414586	
0.000100	0.486330	0.410701	83.358253	84.915085	
0.000100	0.490030	0.403512	83.202236	85.214785	
0.000100	0.496391	0.403742	83.065722	85.714286	
0.000100	0.483476	0.405624	83.572775	85.114885	
0.000100	0.481874	0.404734	83.442761	85.414585	
0.000100	0.476674	0.402746	83.501268	85.714286	
0.000100	0.482814	0.397001	83.254242	85.114885	
0.000100	0.481916	0.406239	83.390756	85.214785	
0.000010	0.487397	0.393287	82.799194	85.414585	
0.000010	0.476902	0.395050	83.566274	85.614386	
0.000010	0.478141	0.402211	83.449262	85.714286	
0.000010	0.464095	0.399276	84.196841	85.514486	
0.000010	0.471772	0.398373	83.728792	85.714286	
