Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.001000	1.072053	0.674113	60.937398	75.424575	
0.001000	0.826028	0.576154	70.948450	78.721279	
0.001000	0.702935	0.523572	76.012481	81.318681	
0.001000	0.644982	0.505063	77.754664	81.418581	
0.001000	0.584228	0.462548	80.088409	82.917083	
0.001000	0.551158	0.460643	81.057011	83.116883	
0.001000	0.516755	0.442604	82.279139	83.016983	
0.001000	0.486875	0.414759	83.410258	83.316683	
0.001000	0.463138	0.416867	83.917311	84.915085	
0.001000	0.449324	0.417924	84.294351	84.015984	
0.001000	0.428839	0.408416	85.126438	84.415584	
0.001000	0.403555	0.407512	86.147045	84.015984	
0.001000	0.400280	0.402234	86.056036	85.114885	
0.001000	0.378132	0.399151	86.914126	85.714286	
0.001000	0.361330	0.407563	87.577196	83.816184	
0.000100	0.335918	0.377698	88.519795	85.714286	
0.000100	0.320317	0.377876	88.760320	85.814186	
0.000100	0.316809	0.364175	89.052851	86.513487	
0.000100	0.302536	0.371009	89.748424	86.313686	
0.000100	0.308417	0.368310	89.371384	86.913087	
0.000100	0.304123	0.363897	89.358383	86.413586	
0.000100	0.304345	0.368083	89.312878	86.913087	
0.000100	0.297745	0.362506	89.598908	86.313686	
0.000100	0.307594	0.363788	89.436391	86.413586	
0.000100	0.302280	0.363116	89.780927	86.613387	
0.000010	0.289044	0.365866	90.125463	86.413586	
0.000010	0.292143	0.365415	89.904440	86.513487	
0.000010	0.289666	0.362649	90.242475	86.513487	
0.000010	0.292496	0.361454	90.125463	86.613387	
0.000010	0.290707	0.359418	90.040954	86.813187	
