Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.001000	1.417418	0.818104	49.651882	69.930070	
0.001000	1.123263	0.699609	60.553120	74.325675	
0.001000	0.997995	0.639814	64.814337	76.123876	
0.001000	0.904465	0.599660	68.095668	78.521479	
0.001000	0.838086	0.563469	69.978081	78.521479	
0.001000	0.805853	0.534858	71.409232	79.820180	
0.001000	0.761859	0.519842	72.801702	80.819181	
0.001000	0.726444	0.500394	74.007220	81.318681	
0.001000	0.700659	0.484925	75.077359	82.217782	
0.001000	0.679479	0.473705	75.522176	83.416584	
0.001000	0.659109	0.464053	76.128159	83.916084	
0.001000	0.633767	0.456481	77.423930	82.517483	
0.001000	0.623598	0.435333	77.578649	84.115884	
0.001000	0.600311	0.436012	78.236204	84.715285	
0.001000	0.581734	0.429461	78.919546	85.114885	
0.000100	0.563196	0.422985	79.860753	85.214785	
0.000100	0.564459	0.419736	79.628675	84.615385	
0.000100	0.556431	0.414700	79.931666	84.715285	
0.000100	0.552736	0.418385	80.195977	84.915085	
0.000100	0.550034	0.418275	80.228210	85.214785	
0.000100	0.551756	0.423264	80.253997	85.114885	
0.000100	0.546017	0.415572	80.363589	85.214785	
0.000100	0.553005	0.418449	79.854306	85.014985	
0.000100	0.552839	0.413406	80.183084	84.815185	
0.000100	0.541294	0.411682	80.589221	84.615385	
0.000010	0.536768	0.414563	80.859979	84.815185	
0.000010	0.543011	0.414501	80.453842	84.415584	
0.000010	0.532366	0.414229	81.008252	84.915085	
0.000010	0.537346	0.409847	81.162971	85.014985	
0.000010	0.535752	0.409378	80.782620	84.915085	
