Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.001000	1.151986	0.652970	58.851212	75.324675	
0.001000	0.821506	0.558368	70.661423	80.319681	
0.001000	0.709789	0.507219	74.445591	81.218781	
0.001000	0.648422	0.456155	76.405364	83.716284	
0.001000	0.586881	0.510225	79.164518	81.618382	
0.001000	0.545606	0.430497	80.376483	84.415585	
0.001000	0.505838	0.431894	82.091284	85.314685	
0.001000	0.483555	0.411872	82.452295	84.515485	
0.001000	0.453168	0.380892	83.522434	85.314685	
0.001000	0.411013	0.408902	85.437081	85.314685	
0.001000	0.393099	0.413741	85.836772	86.113886	
0.001000	0.377636	0.394809	86.275142	86.813187	
0.001000	0.353672	0.386807	87.325941	86.613387	
0.001000	0.326215	0.382970	88.157555	85.714286	
0.001000	0.322659	0.361897	87.977050	86.313686	
0.000100	0.262957	0.323031	90.955389	88.211788	
0.000100	0.236379	0.326172	91.948169	88.611389	
0.000100	0.226035	0.321981	91.909489	88.811189	
0.000100	0.229547	0.315530	91.890150	88.611389	
0.000100	0.224776	0.316640	92.251160	89.010989	
0.000100	0.222692	0.330076	92.451006	88.411588	
0.000100	0.220439	0.308147	92.451006	89.410590	
0.000100	0.218637	0.323067	92.547705	88.511489	
0.000100	0.211771	0.309368	92.986075	89.510490	
0.000100	0.199756	0.322727	93.243940	89.210789	
0.000010	0.204420	0.315485	93.147241	89.110889	
0.000010	0.196100	0.309245	93.340640	88.811189	
0.000010	0.201659	0.313006	93.024755	88.811189	
0.000010	0.196575	0.319433	93.334193	89.010989	
0.000010	0.195037	0.307117	93.347086	89.110889	
