Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.001000	1.119576	0.727390	64.072976	74.125874	
0.001000	0.637615	0.630155	78.429603	75.524476	
0.001000	0.529400	0.573201	81.459515	79.020979	
0.001000	0.490607	0.564103	82.774626	79.420579	
0.001000	0.444059	0.528660	84.431408	80.819181	
0.001000	0.430688	0.512458	84.966478	80.819181	
0.001000	0.403890	0.489787	85.643373	82.817183	
0.001000	0.386038	0.472807	86.184889	83.016983	
0.001000	0.379060	0.463506	86.668386	83.516483	
0.001000	0.362096	0.451576	87.171222	83.616384	
0.001000	0.347185	0.454221	87.493553	84.315684	
0.001000	0.340673	0.445211	87.500000	83.716284	
0.001000	0.335079	0.435263	87.931924	84.515485	
0.001000	0.323244	0.424961	88.254255	84.515485	
0.001000	0.317301	0.411645	88.415420	85.314686	
0.000100	0.301448	0.410174	89.143889	85.814186	
0.000100	0.299068	0.407347	89.189015	85.514485	
0.000100	0.300442	0.411206	89.221248	84.815185	
0.000100	0.296365	0.404170	89.620939	85.414585	
0.000100	0.287874	0.405528	89.685405	84.915085	
0.000100	0.296063	0.405258	89.492006	85.314685	
0.000100	0.294171	0.408632	89.234141	84.815185	
0.000100	0.298454	0.406692	89.085869	85.214785	
0.000100	0.294054	0.400433	89.356627	85.814186	
0.000100	0.289721	0.396120	89.382414	85.414585	
0.000010	0.291914	0.399594	89.788551	84.915085	
0.000010	0.295744	0.401837	89.479113	84.415584	
0.000010	0.283693	0.398689	89.794997	85.314685	
0.000010	0.287465	0.398359	89.608045	85.114885	
0.000010	0.292101	0.400221	89.324394	85.414585	
