Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.001000	0.764561	0.618393	73.452811	76.323676	
0.001000	0.484441	0.563022	82.671480	79.320679	
0.001000	0.424228	0.518018	84.676380	81.118881	
0.001000	0.403213	0.509978	85.501547	80.619381	
0.001000	0.368252	0.472348	86.771532	82.417582	
0.001000	0.345066	0.448155	87.358174	83.316684	
0.001000	0.330999	0.443739	88.189789	83.716284	
0.001000	0.315732	0.444153	88.724858	83.016983	
0.001000	0.302246	0.434653	88.944043	84.115884	
0.001000	0.286921	0.433258	89.504899	85.014985	
0.001000	0.276118	0.417710	90.033522	84.715285	
0.001000	0.269659	0.423601	90.355854	85.014985	
0.001000	0.258633	0.452219	90.633058	84.415585	
0.001000	0.246556	0.407638	90.768437	85.414586	
0.001000	0.239445	0.423848	91.303507	85.314685	
0.000100	0.212991	0.389967	92.360753	86.013986	
0.000100	0.206207	0.389424	92.689531	86.113886	
0.000100	0.203265	0.396026	92.805570	86.313686	
0.000100	0.200355	0.398381	92.773337	86.213786	
0.000100	0.194265	0.385556	93.121454	86.913087	
0.000100	0.197848	0.387299	92.940949	86.413587	
0.000100	0.193686	0.389550	93.050542	86.713287	
0.000100	0.195283	0.397564	93.089221	86.013986	
0.000100	0.193414	0.395788	93.037648	86.213786	
0.000100	0.197459	0.392735	93.076328	86.413586	
0.000010	0.195660	0.392170	93.115008	86.913087	
0.000010	0.192838	0.387280	93.166581	87.312687	
0.000010	0.185504	0.386108	93.585611	86.813187	
0.000010	0.188617	0.385010	93.198814	87.012987	
0.000010	0.186328	0.383743	93.456679	87.112887	
