Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.001000	1.301363	0.796495	52.896054	71.428572	
0.001000	1.102834	0.715416	58.499642	74.325674	
0.001000	1.048953	0.642260	60.657869	78.121878	
0.001000	1.019139	0.601844	61.951505	78.921079	
0.001000	0.989018	0.566326	62.881103	80.319680	
0.001000	0.972103	0.531884	63.810700	80.619381	
0.001000	0.942986	0.500873	64.564779	82.817183	
0.001000	0.932748	0.480846	65.305857	83.016983	
0.001000	0.913954	0.458486	65.923422	82.417582	
0.001000	0.898249	0.447954	66.508483	83.516484	
0.001000	0.878701	0.437111	67.522590	83.316684	
0.001000	0.872265	0.421791	67.613599	83.116883	
0.001000	0.856281	0.407861	67.964636	85.114885	
0.001000	0.839076	0.409453	69.290776	84.215784	
0.001000	0.828401	0.404518	69.446792	83.916084	
0.000100	0.817400	0.395708	70.044855	84.715285	
0.000100	0.821503	0.394878	69.947344	84.115884	
0.000100	0.814284	0.395501	69.791328	84.815185	
0.000100	0.811758	0.393191	70.129364	84.315685	
0.000100	0.806047	0.386643	70.532406	84.915085	
0.000100	0.806797	0.385851	70.122863	85.214785	
0.000100	0.805347	0.392569	70.116362	84.615385	
0.000100	0.804038	0.389184	70.174868	84.415585	
0.000100	0.803206	0.391045	70.096860	85.114885	
0.000100	0.796889	0.386399	70.746928	85.014985	
0.000010	0.804523	0.392411	70.421894	84.815185	
0.000010	0.799175	0.384928	70.733927	85.114885	
0.000010	0.795964	0.383779	70.668920	86.013986	
0.000010	0.798407	0.383097	70.889943	85.214785	
0.000010	0.803259	0.383239	70.473900	85.314686	
