Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.001000	1.151067	0.646303	56.568940	75.424575	
0.001000	1.005527	0.564726	62.042514	79.720280	
0.001000	0.945807	0.508591	64.629786	82.417582	
0.001000	0.915376	0.507397	66.020932	82.617383	
0.001000	0.885036	0.456222	67.048040	83.616384	
0.001000	0.857516	0.457294	67.964636	83.616384	
0.001000	0.830487	0.481917	69.524800	81.818182	
0.001000	0.807768	0.434247	70.343886	85.214785	
0.001000	0.790457	0.435881	70.727426	84.615385	
0.001000	0.767627	0.443317	72.099070	84.115884	
0.001000	0.746774	0.416818	72.762140	85.714286	
0.001000	0.722384	0.399708	73.626731	86.413586	
0.001000	0.718528	0.420332	73.704739	84.515485	
0.001000	0.692855	0.415681	75.030878	85.914086	
0.001000	0.672443	0.413849	75.472925	86.313686	
0.000100	0.628380	0.396204	77.540142	86.913087	
0.000100	0.613235	0.397197	78.333225	86.713287	
0.000100	0.608394	0.386497	78.287720	87.712288	
0.000100	0.601582	0.394014	78.710265	87.312687	
0.000100	0.597900	0.395816	78.957291	87.112887	
0.000100	0.590595	0.384889	79.119808	88.111888	
0.000100	0.595007	0.389554	78.846779	87.512488	
0.000100	0.585438	0.390122	79.139310	87.212787	
0.000100	0.593865	0.393409	79.061301	87.212787	
0.000100	0.578944	0.390494	79.828382	87.512488	
0.000010	0.576589	0.393349	79.730872	87.612388	
0.000010	0.576888	0.388140	79.620360	87.712288	
0.000010	0.573903	0.389008	79.789378	87.912088	
0.000010	0.581120	0.390158	79.470844	87.712288	
0.000010	0.579902	0.385573	79.438341	87.212787	
