Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.001000	1.299721	0.817734	52.733537	70.829171	
0.001000	1.102522	0.710292	59.117207	73.226773	
0.001000	1.041682	0.651982	61.216928	75.424575	
0.001000	1.003655	0.603876	62.627576	77.422578	
0.001000	0.977934	0.570632	63.511669	79.220779	
0.001000	0.954114	0.545287	64.740298	80.019980	
0.001000	0.927925	0.518874	65.299356	80.519481	
0.001000	0.911860	0.503291	66.508483	81.518482	
0.001000	0.889143	0.497302	67.353572	81.918082	
0.001000	0.880583	0.476929	67.483586	81.418581	
0.001000	0.861396	0.455907	68.289670	83.016983	
0.001000	0.848829	0.453757	68.621205	82.917083	
0.001000	0.842601	0.451781	69.147761	83.116883	
0.001000	0.824367	0.423761	69.674316	84.515484	
0.001000	0.814027	0.426828	70.083859	84.615385	
0.000100	0.798685	0.423255	70.558409	84.815185	
0.000100	0.789057	0.412638	70.831437	84.515485	
0.000100	0.792684	0.417730	70.798934	84.915085	
0.000100	0.787456	0.414906	71.104466	85.114885	
0.000100	0.790521	0.410549	70.909445	85.014985	
0.000100	0.783302	0.412563	71.605019	84.515484	
0.000100	0.780239	0.410558	71.136969	85.414585	
0.000100	0.781624	0.412607	71.266983	85.414585	
0.000100	0.776382	0.407799	71.618020	84.915085	
0.000100	0.777329	0.412333	71.195476	85.114885	
0.000010	0.777112	0.404743	71.422999	85.214785	
0.000010	0.777316	0.403645	71.266983	85.314686	
0.000010	0.775213	0.407375	71.501008	84.915085	
0.000010	0.772893	0.403814	71.449002	85.314685	
0.000010	0.775320	0.408282	71.676526	85.914086	
