Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.001000	1.148249	0.634259	57.186505	76.723277	
0.001000	0.961391	0.523995	64.421764	80.419580	
0.001000	0.895219	0.495785	66.644998	81.718282	
0.001000	0.840876	0.481152	69.128258	80.519481	
0.001000	0.792522	0.467746	71.039459	82.517483	
0.001000	0.751200	0.419573	73.009166	84.815185	
0.001000	0.705139	0.442616	74.666840	84.815185	
0.001000	0.679603	0.410477	75.427420	84.615385	
0.001000	0.640780	0.415177	76.773061	85.214785	
0.001000	0.618379	0.408885	78.047195	85.414586	
0.001000	0.577498	0.405471	79.698368	86.613387	
0.001000	0.558746	0.377599	80.198921	86.513486	
0.001000	0.530629	0.401489	81.057011	86.213786	
0.001000	0.527002	0.431567	81.622570	86.613387	
0.001000	0.493782	0.415586	82.734187	86.613387	
0.000100	0.443606	0.378341	84.957421	87.812188	
0.000100	0.420988	0.372514	85.314958	87.712288	
0.000100	0.414781	0.364203	85.353962	88.311688	
0.000100	0.409174	0.363195	85.691998	88.511489	
0.000100	0.399944	0.378002	86.465579	88.211788	
0.000100	0.392695	0.368640	86.628096	88.611389	
0.000100	0.402563	0.374922	86.062537	88.311688	
0.000100	0.385972	0.372955	86.472080	88.511489	
0.000100	0.386612	0.371649	86.712605	88.411588	
0.000100	0.387352	0.373559	86.641097	87.412588	
0.000010	0.377896	0.371424	87.076643	87.712288	
0.000010	0.383526	0.376829	87.102646	88.211788	
0.000010	0.374799	0.369535	87.024638	87.412587	
0.000010	0.377059	0.373481	86.686602	88.211788	
0.000010	0.378931	0.374034	87.018137	88.311688	
