Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.001000	1.257692	0.792202	54.800754	72.127872	
0.001000	1.032562	0.702195	62.549568	75.224775	
0.001000	0.944455	0.642530	66.137944	77.422577	
0.001000	0.884216	0.592773	67.951635	78.721279	
0.001000	0.826311	0.562624	71.013456	79.720280	
0.001000	0.773581	0.542065	73.002665	80.319680	
0.001000	0.732510	0.542961	74.523825	80.319681	
0.001000	0.698523	0.507789	75.375414	82.317682	
0.001000	0.656916	0.495288	77.260612	81.718282	
0.001000	0.627761	0.475135	77.969187	83.016983	
0.001000	0.611382	0.467495	78.632256	83.016983	
0.001000	0.595442	0.465696	79.639862	82.917083	
0.001000	0.572324	0.442188	80.094910	83.716284	
0.001000	0.556672	0.432799	80.562959	83.916084	
0.001000	0.535984	0.439727	81.291036	84.015984	
0.000100	0.522703	0.434614	81.349542	84.615385	
0.000100	0.513605	0.424754	81.824092	84.715285	
0.000100	0.519189	0.426413	81.798089	84.115884	
0.000100	0.511564	0.424519	81.980108	83.916084	
0.000100	0.511156	0.424236	82.064617	84.915085	
0.000100	0.503626	0.420283	82.357148	84.415584	
0.000100	0.504771	0.417087	82.675681	85.114885	
0.000100	0.509663	0.421515	82.298641	84.615385	
0.000100	0.505022	0.415711	82.506663	84.515485	
0.000100	0.504304	0.421974	82.402652	84.415585	
0.000010	0.502649	0.418808	82.376650	84.715285	
0.000010	0.502578	0.416759	82.298641	84.115884	
0.000010	0.508480	0.416494	82.298641	84.115884	
0.000010	0.501023	0.418971	82.435156	84.615385	
0.000010	0.495961	0.422277	82.578171	84.415584	
