Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.001000	1.069796	0.648377	61.119418	77.022977	
0.001000	0.769929	0.551304	73.308197	79.620380	
0.001000	0.631116	0.517475	78.183709	80.919081	
0.001000	0.558180	0.476892	80.400442	81.918082	
0.001000	0.499543	0.464326	82.539167	83.216783	
0.001000	0.467421	0.431879	83.858805	84.315684	
0.001000	0.420257	0.424069	84.983423	85.614386	
0.001000	0.397115	0.398746	86.056036	85.214785	
0.001000	0.370284	0.432738	87.148151	84.215784	
0.001000	0.361681	0.376164	87.388676	87.212787	
0.001000	0.331036	0.425359	88.136254	86.013986	
0.001000	0.318646	0.391574	88.701814	85.614386	
0.001000	0.302792	0.397176	89.189365	86.113886	
0.001000	0.302256	0.385818	88.994344	87.112887	
0.001000	0.273110	0.394326	90.352987	87.312687	
0.000100	0.235833	0.383732	91.802639	87.812188	
0.000100	0.223948	0.388444	92.134174	87.612388	
0.000100	0.220911	0.383539	92.290190	87.412587	
0.000100	0.218837	0.381361	92.465709	88.111888	
0.000100	0.212640	0.390117	92.628226	87.712288	
0.000100	0.209983	0.386583	92.862251	88.111888	
0.000100	0.207211	0.399663	92.933758	87.912088	
0.000100	0.206087	0.388410	92.810245	87.612388	
0.000100	0.200824	0.380312	93.297796	87.612388	
0.000100	0.197465	0.386687	93.187285	88.211788	
0.000010	0.188228	0.388264	93.499317	88.411588	
0.000010	0.202790	0.390289	93.213287	88.011988	
0.000010	0.198311	0.381826	93.135279	88.111888	
0.000010	0.191183	0.380421	93.531821	88.011988	
0.000010	0.193964	0.390897	93.304297	87.712288	
