Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.001000	1.110722	0.841744	64.727908	71.628372	
0.001000	0.827176	0.749416	71.742386	73.226773	
0.001000	0.757161	0.686327	73.227659	75.024975	
0.001000	0.705323	0.623789	75.361957	77.622378	
0.001000	0.668743	0.600819	76.460310	78.721279	
0.001000	0.624223	0.559230	77.633550	79.720280	
0.001000	0.605369	0.529686	78.919121	80.419580	
0.001000	0.574838	0.506860	79.493260	81.618382	
0.001000	0.562415	0.495406	79.568148	82.017982	
0.001000	0.529439	0.473480	81.140789	82.817183	
0.001000	0.514066	0.463580	81.640040	83.316683	
0.001000	0.501485	0.458235	81.902147	82.317682	
0.001000	0.485755	0.446492	82.463804	83.316683	
0.001000	0.470870	0.445069	82.663505	83.916084	
0.001000	0.456575	0.428392	83.162756	85.114885	
0.000100	0.455213	0.426673	83.012981	84.915085	
0.000100	0.444901	0.424126	83.949076	84.815185	
0.000100	0.443018	0.423215	83.886670	84.515485	
0.000100	0.443768	0.417541	83.736895	84.215784	
0.000100	0.437204	0.419310	83.874189	84.815185	
0.000100	0.442484	0.422012	83.761857	85.014985	
0.000100	0.429584	0.424537	84.286071	83.916084	
0.000100	0.437164	0.414791	84.286071	84.615385	
0.000100	0.436557	0.418284	83.936595	83.916084	
0.000100	0.431598	0.429547	84.273590	84.615385	
0.000010	0.437201	0.418426	84.061408	84.415584	
0.000010	0.433125	0.415160	84.286071	84.015984	
0.000010	0.435437	0.420074	84.073889	84.715285	
0.000010	0.434589	0.416896	84.148777	84.715285	
0.000010	0.439671	0.421217	84.023964	84.915085	
