Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.001000	0.886209	0.661463	69.620569	76.523477	
0.001000	0.654319	0.605961	76.485272	78.421578	
0.001000	0.578571	0.529759	79.306041	82.517483	
0.001000	0.519829	0.464334	81.303045	83.316684	
0.001000	0.470375	0.448931	83.300050	84.315684	
0.001000	0.436559	0.467883	83.949076	83.816184	
0.001000	0.392128	0.439214	85.546680	84.215784	
0.001000	0.367162	0.450823	86.682476	84.615385	
0.001000	0.348423	0.430260	87.418872	85.414585	
0.001000	0.317321	0.417202	88.629556	85.014985	
0.001000	0.296252	0.437960	89.565652	83.516484	
0.001000	0.288538	0.409466	89.665502	85.014985	
0.001000	0.271906	0.408378	90.314528	86.913087	
0.001000	0.258405	0.408040	90.576635	87.112887	
0.001000	0.242670	0.392068	91.337993	87.212787	
0.000100	0.217526	0.372637	92.536196	87.612388	
0.000100	0.188906	0.365920	93.459810	87.812188	
0.000100	0.183674	0.376689	93.647029	87.612388	
0.000100	0.189397	0.372831	93.372441	87.912088	
0.000100	0.175651	0.377663	94.171243	87.312687	
0.000100	0.182404	0.384663	93.584623	87.412587	
0.000100	0.171424	0.381356	94.083874	87.412587	
0.000100	0.180047	0.387201	93.859211	87.912088	
0.000100	0.166184	0.388713	94.158762	87.512488	
0.000100	0.167729	0.377295	94.296056	87.912088	
0.000010	0.164907	0.384341	94.333500	87.212787	
0.000010	0.169403	0.370502	94.483275	88.511489	
0.000010	0.173479	0.380721	93.984024	87.412587	
0.000010	0.170919	0.377115	94.246131	88.111888	
0.000010	0.163289	0.375034	94.682976	87.312687	
