Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.001000	1.072828	0.785642	67.695977	72.727273	
0.001000	0.547082	0.677205	82.639247	74.825175	
0.001000	0.445485	0.614661	84.811759	77.022977	
0.001000	0.401218	0.580944	86.126870	78.221778	
0.001000	0.366917	0.543410	87.106756	80.319680	
0.001000	0.352575	0.527370	87.313048	81.018981	
0.001000	0.326438	0.514822	88.383187	81.518482	
0.001000	0.324021	0.487706	88.312274	81.818182	
0.001000	0.301816	0.472623	89.227695	82.617383	
0.001000	0.291331	0.445383	89.666065	83.516484	
0.001000	0.283200	0.448243	89.717638	84.115884	
0.001000	0.276152	0.434165	90.020629	85.114885	
0.001000	0.271084	0.423585	90.220474	85.514486	
0.001000	0.255267	0.423245	90.794224	84.915085	
0.001000	0.254290	0.406371	90.923156	86.313686	
0.000100	0.242403	0.400642	91.155235	85.814186	
0.000100	0.248989	0.405256	90.987622	85.414585	
0.000100	0.238734	0.400344	91.419546	85.914086	
0.000100	0.239380	0.402417	91.484012	86.113886	
0.000100	0.234279	0.401684	91.632285	86.413587	
0.000100	0.239205	0.400841	91.445333	86.213786	
0.000100	0.236471	0.395606	91.367973	86.213786	
0.000100	0.240800	0.400053	91.322847	86.113886	
0.000100	0.233205	0.395620	91.554925	86.013986	
0.000100	0.234868	0.395773	91.793450	86.713287	
0.000010	0.231814	0.394455	91.670964	86.513486	
0.000010	0.234707	0.395604	91.645178	86.113886	
0.000010	0.229051	0.396375	91.703198	86.013986	
0.000010	0.233636	0.395433	91.290614	86.413586	
0.000010	0.229633	0.391841	91.638731	86.513487	
