Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.001000	1.130112	0.632058	57.854735	75.224775	
0.001000	0.978564	0.550099	63.108849	79.420579	
0.001000	0.930443	0.529080	65.322847	80.619381	
0.001000	0.898036	0.526400	66.294363	80.419580	
0.001000	0.869071	0.489526	66.994911	81.318681	
0.001000	0.835710	0.492691	69.010640	81.518482	
0.001000	0.822864	0.483570	69.486485	82.317682	
0.001000	0.792804	0.438261	70.702531	82.717283	
0.001000	0.771388	0.439284	71.350208	84.515485	
0.001000	0.755625	0.441648	72.097019	83.716284	
0.001000	0.727588	0.424855	73.584033	84.415584	
0.001000	0.705401	0.423682	74.066486	85.014985	
0.001000	0.690969	0.418331	74.866169	84.715285	
0.001000	0.672240	0.425999	75.553499	85.614386	
0.001000	0.653677	0.460406	76.320137	83.416583	
0.000100	0.613294	0.389922	78.620052	86.513487	
0.000100	0.602167	0.387470	78.937281	86.513487	
0.000100	0.592986	0.388437	79.161985	86.913087	
0.000100	0.591654	0.382589	78.705968	87.412587	
0.000100	0.584756	0.384825	79.300773	87.612388	
0.000100	0.581168	0.382359	79.624612	87.512487	
0.000100	0.572958	0.383099	79.551913	87.412587	
0.000100	0.580085	0.384104	79.565131	87.012987	
0.000100	0.566964	0.386284	80.014540	87.112887	
0.000100	0.572073	0.388829	79.763400	86.913087	
0.000010	0.558472	0.387205	80.318551	87.412587	
0.000010	0.558600	0.387712	80.146719	87.012987	
0.000010	0.562080	0.387077	80.609345	87.312687	
0.000010	0.568921	0.386594	79.915405	87.312687	
0.000010	0.571466	0.386367	79.763400	87.312687	
