group,model,seed,metric,value
baseline,resnet18,42,accuracy,0.8671328671328671
baseline,resnet18,42,balanced_accuracy,0.7419168384989352
baseline,resnet18,42,macro_precision,0.7959876379903518
baseline,resnet18,42,macro_recall,0.7419168384989352
baseline,resnet18,42,macro_f1,0.7626478093618817
baseline,resnet18,42,macro_auc_ovr,0.974191000451565
baseline,resnet18,123,accuracy,0.8761238761238761
baseline,resnet18,123,balanced_accuracy,0.7251958290573787
baseline,resnet18,123,macro_precision,0.7933841176285051
baseline,resnet18,123,macro_recall,0.7251958290573787
baseline,resnet18,123,macro_f1,0.7510529668977025
baseline,resnet18,123,macro_auc_ovr,0.9751255682677343
baseline,resnet18,2024,accuracy,0.8641358641358642
baseline,resnet18,2024,balanced_accuracy,0.7069508759268136
baseline,resnet18,2024,macro_precision,0.7518739589906451
baseline,resnet18,2024,macro_recall,0.7069508759268136
baseline,resnet18,2024,macro_f1,0.7249154488343541
baseline,resnet18,2024,macro_auc_ovr,0.9761808690674828
baseline,resnet18,3407,accuracy,0.8721278721278721
baseline,resnet18,3407,balanced_accuracy,0.7186401241915389
baseline,resnet18,3407,macro_precision,0.7680789015784676
baseline,resnet18,3407,macro_recall,0.7186401241915389
baseline,resnet18,3407,macro_f1,0.73701766490884
baseline,resnet18,3407,macro_auc_ovr,0.9720301105743813
baseline,resnet18,7777,accuracy,0.8781218781218781
baseline,resnet18,7777,balanced_accuracy,0.7665949835749482
baseline,resnet18,7777,macro_precision,0.8097609997221872
baseline,resnet18,7777,macro_recall,0.7665949835749482
baseline,resnet18,7777,macro_f1,0.7788698775765405
baseline,resnet18,7777,macro_auc_ovr,0.9739703106311195
baseline,resnet50,42,accuracy,0.903096903096903
baseline,resnet50,42,balanced_accuracy,0.7816373726656257
baseline,resnet50,42,macro_precision,0.8239171862116691
baseline,resnet50,42,macro_recall,0.7816373726656257
baseline,resnet50,42,macro_f1,0.7987603989180352
baseline,resnet50,42,macro_auc_ovr,0.9829147656119741
baseline,resnet50,123,accuracy,0.8981018981018981
baseline,resnet50,123,balanced_accuracy,0.7889474287857615
baseline,resnet50,123,macro_precision,0.8157345454902132
baseline,resnet50,123,macro_recall,0.7889474287857615
baseline,resnet50,123,macro_f1,0.8008921840895242
baseline,resnet50,123,macro_auc_ovr,0.9839504038960973
baseline,resnet50,2024,accuracy,0.8851148851148851
baseline,resnet50,2024,balanced_accuracy,0.7267495576967667
baseline,resnet50,2024,macro_precision,0.8090654111879624
baseline,resnet50,2024,macro_recall,0.7267495576967667
baseline,resnet50,2024,macro_f1,0.7556545818312079
baseline,resnet50,2024,macro_auc_ovr,0.9805243900884703
baseline,resnet50,3407,accuracy,0.8871128871128872
baseline,resnet50,3407,balanced_accuracy,0.7751828941649946
baseline,resnet50,3407,macro_precision,0.8059472619254322
baseline,resnet50,3407,macro_recall,0.7751828941649946
baseline,resnet50,3407,macro_f1,0.7876005998416629
baseline,resnet50,3407,macro_auc_ovr,0.9815515360058139
baseline,resnet50,7777,accuracy,0.9010989010989011
baseline,resnet50,7777,balanced_accuracy,0.8057673030640624
baseline,resnet50,7777,macro_precision,0.8410807435063044
baseline,resnet50,7777,macro_recall,0.8057673030640624
baseline,resnet50,7777,macro_f1,0.817755044346998
baseline,resnet50,7777,macro_auc_ovr,0.983247848822214
baseline,efficientnet_b0,42,accuracy,0.8531468531468531
baseline,efficientnet_b0,42,balanced_accuracy,0.616324329626286
baseline,efficientnet_b0,42,macro_precision,0.7443726859444044
baseline,efficientnet_b0,42,macro_recall,0.616324329626286
baseline,efficientnet_b0,42,macro_f1,0.6503231114248634
baseline,efficientnet_b0,42,macro_auc_ovr,0.9696272422288806
baseline,efficientnet_b0,123,accuracy,0.8511488511488512
baseline,efficientnet_b0,123,balanced_accuracy,0.6199191404367833
baseline,efficientnet_b0,123,macro_precision,0.651528317798425
baseline,efficientnet_b0,123,macro_recall,0.6199191404367833
baseline,efficientnet_b0,123,macro_f1,0.6283396365898153
baseline,efficientnet_b0,123,macro_auc_ovr,0.969458659317142
baseline,efficientnet_b0,2024,accuracy,0.8531468531468531
baseline,efficientnet_b0,2024,balanced_accuracy,0.6233710546075147
baseline,efficientnet_b0,2024,macro_precision,0.6461325309602884
baseline,efficientnet_b0,2024,macro_recall,0.6233710546075147
baseline,efficientnet_b0,2024,macro_f1,0.6253186511948644
baseline,efficientnet_b0,2024,macro_auc_ovr,0.9646595954920976
baseline,efficientnet_b0,3407,accuracy,0.8521478521478522
baseline,efficientnet_b0,3407,balanced_accuracy,0.6253699417199634
baseline,efficientnet_b0,3407,macro_precision,0.7296418342508142
baseline,efficientnet_b0,3407,macro_recall,0.6253699417199634
baseline,efficientnet_b0,3407,macro_f1,0.6514228249626334
baseline,efficientnet_b0,3407,macro_auc_ovr,0.9691975543518183
baseline,efficientnet_b0,7777,accuracy,0.8591408591408591
baseline,efficientnet_b0,7777,balanced_accuracy,0.6610153961298277
