model,class,source_images,source_masks,paired,normalized_images,normalized_masks,status
ArSDM,akiec,1476,1476,1476,1476,1476,ok
ArSDM,bcc,1488,1488,1488,1488,1488,ok
ArSDM,bkl,1500,1500,1500,1500,1500,ok
ArSDM,df,1440,1440,1440,1440,1440,ok
ArSDM,mel,1493,1493,1493,1493,1493,ok
ArSDM,nv,1500,1500,1500,1500,1500,ok
ArSDM,vasc,1435,1435,1435,1435,1435,ok
Controlnet,akiec,1500,1500,1500,1500,1500,ok
Controlnet,bcc,1500,1500,1500,1500,1500,ok
Controlnet,bkl,1500,1500,1500,1500,1500,ok
Controlnet,df,1500,1500,1500,1500,1500,ok
Controlnet,mel,1500,1500,1500,1500,1500,ok
Controlnet,nv,1500,1500,1500,1500,1500,ok
Controlnet,vasc,1500,1500,1500,1500,1500,ok
DFMGAN,akiec,1500,1500,1500,1500,1500,ok
DFMGAN,bcc,1500,1500,1500,1500,1500,ok
DFMGAN,bkl,1500,1500,1500,1500,1500,ok
DFMGAN,df,1500,1500,1500,1500,1500,ok
DFMGAN,mel,1500,1500,1500,1500,1500,ok
DFMGAN,nv,1500,1500,1500,1500,1500,ok
DFMGAN,vasc,1500,1500,1500,1500,1500,ok
Derm-T2IM,akiec,1500,0,0,1500,0,ok
Derm-T2IM,bcc,1500,0,0,1500,0,ok
Derm-T2IM,bkl,1500,0,0,1500,0,ok
Derm-T2IM,df,1500,0,0,1500,0,ok
Derm-T2IM,mel,1500,0,0,1500,0,ok
Derm-T2IM,nv,1500,0,0,1500,0,ok
Derm-T2IM,vasc,1500,0,0,1500,0,ok
DreamBooth,akiec,1500,0,0,1500,0,ok
DreamBooth,bcc,1500,0,0,1500,0,ok
DreamBooth,bkl,1500,0,0,1500,0,ok
DreamBooth,df,1500,0,0,1500,0,ok
DreamBooth,mel,1500,0,0,1500,0,ok
DreamBooth,nv,1500,0,0,1500,0,ok
DreamBooth,vasc,1500,0,0,1500,0,ok
LesionGen,akiec,1500,0,0,1500,0,ok
LesionGen,bcc,1500,0,0,1500,0,ok
LesionGen,bkl,1500,0,0,1500,0,ok
LesionGen,df,1500,0,0,1500,0,ok
LesionGen,mel,1500,0,0,1500,0,ok
LesionGen,nv,1500,0,0,1500,0,ok
LesionGen,vasc,1500,0,0,1500,0,ok
Siamese,akiec,1500,1500,1500,1500,1500,ok
Siamese,bcc,1500,1500,1500,1500,1500,ok
Siamese,bkl,1500,1500,1500,1500,1500,ok
Siamese,df,1500,1500,1500,1500,1500,ok
Siamese,mel,1500,1500,1500,1500,1500,ok
Siamese,nv,1500,1500,1500,1500,1500,ok
Siamese,vasc,1500,1500,1500,1500,1500,ok
T2I-Adapter,akiec,1500,1500,1500,1500,1500,ok
T2I-Adapter,bcc,1500,1500,1500,1500,1500,ok
T2I-Adapter,bkl,1500,1500,1500,1500,1500,ok
T2I-Adapter,df,1500,1500,1500,1500,1500,ok
T2I-Adapter,mel,1500,1500,1500,1500,1500,ok
T2I-Adapter,nv,1500,1500,1500,1500,1500,ok
T2I-Adapter,vasc,1500,1500,1500,1500,1500,ok
flow,akiec,1500,1500,1500,1500,1500,ok
flow,bcc,1500,1500,1500,1500,1500,ok
flow,bkl,1500,1500,1500,1500,1500,ok
flow,df,1500,1500,1500,1500,1500,ok
flow,mel,1500,1500,1500,1500,1500,ok
flow,nv,1500,1500,1500,1500,1500,ok
flow,vasc,1500,1500,1500,1500,1500,ok
