group,model,seed,metric,value
ArSDM,unet,42,mDice,0.8614184820687735
ArSDM,unet,42,mIoU,0.776464344976427
ArSDM,unet,123,mDice,0.8831494878698419
ArSDM,unet,123,mIoU,0.8104819856085382
ArSDM,unet,2024,mDice,0.8796813708323461
ArSDM,unet,2024,mIoU,0.8038798363415988
ArSDM,unet,3407,mDice,0.8767999499351471
ArSDM,unet,3407,mIoU,0.7997971269991491
ArSDM,unet,7777,mDice,0.8826141411607916
ArSDM,unet,7777,mIoU,0.8075949171563604
ArSDM,segformer,42,mDice,0.9426295168988117
ArSDM,segformer,42,mIoU,0.8971176560108478
ArSDM,segformer,123,mDice,0.94350645794616
ArSDM,segformer,123,mIoU,0.8987587989865244
ArSDM,segformer,2024,mDice,0.9406714753194765
ArSDM,segformer,2024,mIoU,0.8938533579791105
ArSDM,segformer,3407,mDice,0.9353641713415826
ArSDM,segformer,3407,mIoU,0.8854723993714873
ArSDM,segformer,7777,mDice,0.9417862002547089
ArSDM,segformer,7777,mIoU,0.8959343030259802
Controlnet,unet,42,mDice,0.8584624757538071
Controlnet,unet,42,mIoU,0.7689189673303725
Controlnet,unet,123,mDice,0.8584046842573168
Controlnet,unet,123,mIoU,0.7709479571936967
Controlnet,unet,2024,mDice,0.8598998840991314
Controlnet,unet,2024,mIoU,0.7716305298762365
Controlnet,unet,3407,mDice,0.8390152315040688
Controlnet,unet,3407,mIoU,0.744635663904272
Controlnet,unet,7777,mDice,0.8754796417323979
Controlnet,unet,7777,mIoU,0.7945136418947568
Controlnet,segformer,42,mDice,0.9381989793224887
Controlnet,segformer,42,mIoU,0.8891468774545919
Controlnet,segformer,123,mDice,0.9395166149625293
Controlnet,segformer,123,mIoU,0.8918732926323936
Controlnet,segformer,2024,mDice,0.9408828525038271
Controlnet,segformer,2024,mIoU,0.8939752002338787
Controlnet,segformer,3407,mDice,0.9396324881783256
Controlnet,segformer,3407,mIoU,0.8918022055487771
Controlnet,segformer,7777,mDice,0.940156230083355
Controlnet,segformer,7777,mIoU,0.8923208568241451
DFMGAN,unet,42,mDice,0.8551078548321833
DFMGAN,unet,42,mIoU,0.7715332898703012
DFMGAN,unet,123,mDice,0.8564083499984665
DFMGAN,unet,123,mIoU,0.771533219904809
DFMGAN,unet,2024,mDice,0.8507195547982291
DFMGAN,unet,2024,mIoU,0.7597694592280583
DFMGAN,unet,3407,mDice,0.862036644757449
DFMGAN,unet,3407,mIoU,0.7781650422217248
DFMGAN,unet,7777,mDice,0.867562102449762
DFMGAN,unet,7777,mIoU,0.7871444455155364
DFMGAN,segformer,42,mDice,0.9308178262277083
DFMGAN,segformer,42,mIoU,0.87719913546022
DFMGAN,segformer,123,mDice,0.9281249007621368
DFMGAN,segformer,123,mIoU,0.8727244719877825
DFMGAN,segformer,2024,mDice,0.9326768761033659
