model,metric,group,n,mean,std,ci95_low,ci95_high
segformer,mDice,ArSDM,5,0.9407915643521481,0.0032097131350075675,0.9368061791078475,0.9447769495964486
segformer,mDice,Controlnet,5,0.9396774330101051,0.0009869131904521606,0.9384520184321682,0.940902847588042
segformer,mDice,DFMGAN,5,0.9298745210830506,0.001894645617322236,0.927522007830667,0.9322270343354342
segformer,mDice,Siamese,5,0.9394141326536547,0.0017375429657747788,0.93725668810772,0.9415715771995894
segformer,mDice,T2I-Adapter,5,0.9413935424445512,0.0007509101155405507,0.9404611643881975,0.9423259205009049
segformer,mDice,flow,5,0.9427201481489511,0.001384185165427157,0.9410014552621925,0.9444388410357097
segformer,mDice,flow_yuan,5,0.9406109001491215,0.0011292599654824736,0.9392087387053691,0.9420130615928739
segformer,mIoU,ArSDM,5,0.89422730307479,0.005210341109637024,0.8877578101005926,0.9006967960489874
segformer,mIoU,Controlnet,5,0.8918236865387572,0.001735253478853617,0.8896690847663068,0.8939782883112076
segformer,mIoU,DFMGAN,5,0.8754472567008568,0.0033781833023141736,0.8712526881150402,0.8796418252866733
segformer,mIoU,Siamese,5,0.8911530641885428,0.0027513852761719593,0.8877367681459322,0.8945693602311534
segformer,mIoU,T2I-Adapter,5,0.8950006821296075,0.0014335434679961713,0.8932207028155364,0.8967806614436785
segformer,mIoU,flow,5,0.8967263552454205,0.0023958011107772024,0.8937515752593119,0.8997011352315292
segformer,mIoU,flow_yuan,5,0.8938154416722612,0.001944036870833068,0.8914016010785671,0.8962292822659553
unet,mDice,ArSDM,5,0.87673268637338,0.00893015914989596,0.8656444292587242,0.8878209434880358
unet,mDice,Controlnet,5,0.8582523834693443,0.012938586047364389,0.8421870069866704,0.8743177599520182
unet,mDice,DFMGAN,5,0.858366901367218,0.00653754458543778,0.850249467618828,0.8664843351156081
unet,mDice,Siamese,5,0.8574386696239096,0.010973383324650955,0.843813414611201,0.8710639246366182
unet,mDice,T2I-Adapter,5,0.8553436140080433,0.009132851445371041,0.8440036811673828,0.8666835468487037
unet,mDice,flow,5,0.8932127691172698,0.003527524189847732,0.888832769327943,0.8975927689065966
unet,mDice,flow_yuan,5,0.8847609854482865,0.0064320168482767375,0.8767745816919412,0.8927473892046318
unet,mIoU,ArSDM,5,0.7996436422164148,0.013564117916774688,0.782801565331765,0.8164857191010646
unet,mIoU,Controlnet,5,0.770129352039867,0.017669963263413416,0.7481891948061035,0.7920695092736305
unet,mIoU,DFMGAN,5,0.7736290913480859,0.01005129484249687,0.7611487604068263,0.7861094222893454
unet,mIoU,Siamese,5,0.7694410146414101,0.01520246533974914,0.750564660745103,0.7883173685377173
unet,mIoU,T2I-Adapter,5,0.7674152770361582,0.013502223547731507,0.7506500521612408,0.7841805019110756
unet,mIoU,flow,5,0.8228294316228929,0.0049555398370561676,0.8166763162155557,0.8289825470302301
unet,mIoU,flow_yuan,5,0.8093950917313506,0.009990846231136382,0.7969898176545588,0.8218003658081424
